"Código","Município","UF","Nível de Aprendizagem (Português | 5º ano | 2015)","Faixa de Aprendizagem (Português | 5º ano | 2015)","Nível de Desigualdade por Raça (Português | 5º ano | 2015)","Faixa de Desigualdade por Raça (Português | 5º ano | 2015)","Nível de Aprendizagem (Matemática | 5º ano | 2015)","Faixa de Aprendizagem (Matemática | 5º ano | 2015)","Nível de Desigualdade por Raça (Matemática | 5º ano | 2015)","Faixa de Desigualdade por Raça (Matemática | 5º ano | 2015)"
"1101104","Itapuã do Oeste","RO","-0.928010644507601","Média","-0.00309544732679015","Desigualdade","-1.52581533537629","Baixa","-0.568688292216995","Desigualdade alta"
"1101203","Ministro Andreazza","RO","-0.446146001689464","Médio-alta","0.680770186319281","Situações atípicas","-0.476681122276612","Médio-alta","-0.482527918859234","Desigualdade"
"1101302","Mirante da Serra","RO","-0.374516017853493","Médio-alta","-0.721354568567402","Desigualdade alta","-0.558576436062746","Médio-alta","-1.03319829105835","Desigualdade extrema"
"1101401","Monte Negro","RO","-0.947619422077653","Média","0.000799233353426931","Equidade","-0.998842431840364","Média","-0.544951764413004","Desigualdade"
"1101435","Nova União","RO","-0.560192803520288","Médio-alta","-0.555714775129722","Desigualdade alta","-0.800120665884144","Média","0.826980215731228","Situações atípicas"
"1101450","Parecis","RO","-0.940221838644079","Média","0.00149331746978542","Equidade","-1.09797509818795","Médio-baixa","-0.598801090874114","Desigualdade alta"
"1101468","Pimenteiras do Oeste","RO","-0.610853864356757","Média","0.00052881400030018","Equidade","-0.740876563912752","Média","0.00121439592209752","Equidade"
"1101476","Primavera de Rondônia","RO","-0.703036377368702","Média","-0.86809738646744","Desigualdade alta","-1.08292456893077","Médio-baixa","-0.982611673341744","Desigualdade extrema"
"1101484","São Felipe D'Oeste","RO","-0.899832687801928","Média","-0.65927932200963","Desigualdade alta","-0.975491071685646","Média","-0.935034044119288","Desigualdade extrema"
"1101492","São Francisco do Guaporé","RO","-0.698975963017102","Média","-0.689261043286053","Desigualdade alta","-0.703518996107192","Média","-0.485026932930198","Desigualdade"
"1101500","Seringueiras","RO","-0.959777408260611","Média","-0.543295839418313","Desigualdade alta","-1.14057869340633","Médio-baixa","-0.521732522606514","Desigualdade"
"1101559","Teixeirópolis","RO","-0.681235161930291","Média","0.49386447076703","Situações atípicas","-0.733759917811832","Média","-0.570920147946242","Desigualdade alta"
"1101609","Theobroma","RO","-0.588851680824578","Médio-alta","-0.650811914410564","Desigualdade alta","-0.751090526830022","Média","-0.67051953758984","Desigualdade alta"
"1101708","Urupá","RO","-0.478287473283469","Médio-alta","-0.00172890353212537","Desigualdade","-0.440509467200951","Médio-alta","-0.00298061375181727","Desigualdade"
"1101757","Vale do Anari","RO","-0.580259469837421","Médio-alta","-0.00169684214191623","Desigualdade","-0.76169132145478","Média","-0.74985234748249","Desigualdade alta"
"1101807","Vale do Paraíso","RO","-0.556805245574538","Médio-alta","-0.618446104183845","Desigualdade alta","-0.813349459342332","Média","-0.609293034948177","Desigualdade alta"
"1200013","Acrelândia","AC","-0.669459301199568","Média","-0.592579468878482","Desigualdade alta","-0.810084111717645","Média","-0.383237798354208","Desigualdade"
"1200054","Assis Brasil","AC","-0.654716568831059","Média","-0.00300180015212923","Desigualdade","-0.864827395854519","Média","-0.0000576133342886499","Equidade"
"1200104","Brasiléia","AC","-0.265726721508159","Alta","0.401463332042759","Situações atípicas","-0.314504692086897","Médio-alta","-0.534950414745056","Desigualdade"
"1200138","Bujari","AC","-0.952388433049833","Média","-0.0000424631365091168","Equidade","-1.43011729410932","Baixa","0.603107212827147","Situações atípicas"
"1200179","Capixaba","AC","-1.03564273833287","Média","0.483684087756389","Situações atípicas","-1.31670232062871","Médio-baixa","0.000487736921086789","Equidade"
"1200203","Cruzeiro do Sul","AC","-0.508110211620693","Médio-alta","-0.0720139066798785","Desigualdade","-0.809129664513784","Média","-0.0551538604492367","Desigualdade"
"1200252","Epitaciolândia","AC","-0.571534299019237","Médio-alta","-0.393587163062291","Desigualdade","-0.73900764609369","Média","-0.0680420843889564","Desigualdade"
"1200302","Feijó","AC","-0.455059052886215","Médio-alta","-0.0000964148365901945","Equidade","-0.648873127476662","Média","0.000155899448450173","Equidade"
"1200328","Jordão","AC","-0.979680106092559","Média","0.660894528727406","Situações atípicas","-1.39484479965523","Baixa","-0.000822322467684332","Equidade"
"1200336","Mâncio Lima","AC","-0.811774013983522","Média","-0.752617595396123","Desigualdade alta","-1.17237928881399","Médio-baixa","-0.666453370849475","Desigualdade alta"
"1200344","Manoel Urbano","AC","-0.375418147962632","Médio-alta","0.000924418918397897","Equidade","-0.445631016198166","Médio-alta","-0.385551744806447","Desigualdade"
"1200351","Marechal Thaumaturgo","AC","-1.20754623529562","Médio-baixa","-0.00241908647183065","Desigualdade","-1.62379330602251","Baixa","0.0000526265268095093","Equidade"
"1200385","Plácido de Castro","AC","-0.786181911888147","Média","-0.0000245156627777656","Equidade","-1.1994153318055","Médio-baixa","-0.425836155898745","Desigualdade"
"1200393","Porto Walter","AC","-1.2625886641846","Médio-baixa","0.000287725444528789","Equidade","-1.46359188484898","Baixa","-0.0000419121249580368","Equidade"
"1200401","Rio Branco","AC","-0.328451009343764","Médio-alta","-0.0301303176184532","Desigualdade","-0.550753226867773","Médio-alta","-0.0269930763839249","Desigualdade"
"1200427","Rodrigues Alves","AC","-0.983541627315011","Média","-0.0000603349422288705","Equidade","-1.41013127938409","Baixa","0.00000953365033954129","Equidade"
"1200435","Santa Rosa do Purus","AC","-1.09052264076304","Médio-baixa","0.0000123344050424981","Equidade","-1.71082851202073","Baixa","0.000114378696012491","Equidade"
"1200450","Senador Guiomard","AC","-0.460131493389637","Médio-alta","0.0000897293208667437","Equidade","-0.713101094199831","Média","-0.0000677560162973366","Equidade"
"1200500","Sena Madureira","AC","-0.427992434948117","Médio-alta","-0.24604523634441","Desigualdade","-0.697295412940309","Média","-0.263117855664584","Desigualdade"
"1200609","Tarauacá","AC","-0.45920254074254","Médio-alta","-0.00080613958279359","Equidade","-0.554796921597562","Médio-alta","-0.00177594932212704","Desigualdade"
"1200708","Xapuri","AC","-0.564831570618768","Médio-alta","-0.00198726381063703","Desigualdade","-0.802275524323894","Média","-0.00666803483116904","Desigualdade"
"1200807","Porto Acre","AC","-0.942193800998342","Média","-0.000183962242980787","Equidade","-1.28004244947745","Médio-baixa","0.0000195956221587323","Equidade"
"1300029","Alvarães","AM","-0.971762942592392","Média","-0.0000840143082113087","Equidade","-1.27110780509145","Médio-baixa","-0.00171000516806604","Desigualdade"
"1300060","Amaturá","AM","-1.24173770318363","Médio-baixa","-0.00187322815955972","Desigualdade","-1.71666385218201","Baixa","-0.526773535028811","Desigualdade"
"1300086","Anamã","AM","-0.932608743489884","Média","-0.00156830522518943","Desigualdade","-1.05825631652565","Média","0.000117190162557741","Equidade"
"1300102","Anori","AM","-0.613072831237434","Média","0.000512328194087441","Equidade","-0.958740528067647","Média","-0.00028541558627024","Equidade"
"1300144","Apuí","AM","-0.581050531981306","Médio-alta","-0.48824223453685","Desigualdade","-0.676398596801454","Média","-0.162566762636146","Desigualdade"
"1300201","Atalaia do Norte","AM","-1.24765787087324","Médio-baixa","-0.578552754176031","Desigualdade alta","-1.64569143654425","Baixa","-0.000021099290664982","Equidade"
"1300300","Autazes","AM","-1.17111047187944","Médio-baixa","-0.0000306676999428216","Equidade","-1.49565678158834","Baixa","0.102321825681187","Situações atípicas"
"1300409","Barcelos","AM","-0.775185732750932","Média","-0.00117128747341121","Equidade","-1.09037805623461","Médio-baixa","-0.0013302559776459","Equidade"
"1300508","Barreirinha","AM","-1.15353050647167","Médio-baixa","0.0000617958118862006","Equidade","-1.53251038674936","Baixa","0.000196246675143458","Equidade"
"1300607","Benjamin Constant","AM","-1.11519339093774","Médio-baixa","-0.0296625051918069","Desigualdade","-1.49243189823811","Baixa","0.000201076034138106","Equidade"
"1300631","Beruri","AM","-0.369190094293935","Médio-alta","-0.0000813581688260893","Equidade","-0.399020681375915","Médio-alta","-0.330526917317339","Desigualdade"
"1300680","Boa Vista do Ramos","AM","-1.10120947391787","Médio-baixa","0.746679912236108","Situações atípicas","-1.30754137791945","Médio-baixa","0.705478910575406","Situações atípicas"
"1300706","Boca do Acre","AM","-0.46369226030629","Médio-alta","-0.525398052459362","Desigualdade","-0.56363258132801","Médio-alta","-0.393037283387819","Desigualdade"
"1300805","Borba","AM","-1.10215916190762","Médio-baixa","-0.152323357246287","Desigualdade","-1.29300042015383","Médio-baixa","-0.184987548503889","Desigualdade"
"1300839","Caapiranga","AM","-1.10505963007364","Médio-baixa","-0.000149887938350189","Equidade","-1.25520384885845","Médio-baixa","0.626349019313147","Situações atípicas"
"1300904","Canutama","AM","-1.01889232494854","Média","-0.535922970434766","Desigualdade","-1.21142328388933","Médio-baixa","-0.524092246838997","Desigualdade"
"1301001","Carauari","AM","-0.470571025185203","Médio-alta","-0.0240916534646688","Desigualdade","-0.367678332281898","Médio-alta","-0.152198755353198","Desigualdade"
"1301100","Careiro","AM","-0.959738264068402","Média","-0.194597616494228","Desigualdade","-1.33962846840033","Médio-baixa","-0.00000993964444579413","Equidade"
"1301159","Careiro da Várzea","AM","-1.08417003525413","Médio-baixa","0.665199740122881","Situações atípicas","-1.64640391313766","Baixa","0.00249765486166783","Situações atípicas"
"1301209","Coari","AM","-0.911423010074299","Média","-0.0760318933330498","Desigualdade","-0.904108016367882","Média","-0.000424411484019506","Equidade"
"1301308","Codajás","AM","-1.05466850992379","Média","0.196340458860826","Situações atípicas","-1.05870838360561","Média","0.000171133028048177","Equidade"
"1301407","Eirunepé","AM","-0.632278758253293","Média","-0.221596567055333","Desigualdade","-0.445044895959618","Médio-alta","-0.142043455035375","Desigualdade"
"1301506","Envira","AM","-0.533392920704505","Médio-alta","-0.485885451191457","Desigualdade","-0.439353723365054","Médio-alta","-0.512064055742487","Desigualdade"
"1301605","Fonte Boa","AM","-1.37877934272525","Baixa","-0.239215437684516","Desigualdade","-1.92890189839065","Baixa","-0.00101752406784623","Equidade"
"1301654","Guajará","AM","-1.31352195934478","Médio-baixa","-0.552575043559883","Desigualdade alta","-1.57563427561726","Baixa","0.27711214931877","Situações atípicas"
"1301704","Humaitá","AM","-0.73625058145142","Média","-0.000157112308793116","Equidade","-1.07956584355578","Médio-baixa","0.182533114102621","Situações atípicas"
"1301803","Ipixuna","AM","-1.3002425379445","Médio-baixa","-0.382668340485145","Desigualdade","-1.3462459999572","Médio-baixa","-0.586187732210799","Desigualdade alta"
"1301852","Iranduba","AM","-1.02082540927146","Média","-0.0972402853945976","Desigualdade","-1.47901042822215","Baixa","0.0681961809159227","Situações atípicas"
"1301902","Itacoatiara","AM","-0.712411805405051","Média","-0.0608610837055764","Desigualdade","-1.01031582083054","Média","-0.0471279252983411","Desigualdade"
"1301951","Itamarati","AM","-0.624380337279975","Média","-0.00311924906853647","Desigualdade","-0.697557395583644","Média","-5.092580255483e-8","Equidade"
"1302009","Itapiranga","AM","-0.727263510943143","Média","-0.666826592888318","Desigualdade alta","-0.866596121704844","Média","-0.000444261534587331","Equidade"
"1302108","Japurá","AM","-1.12993730225549","Médio-baixa","-0.551993630202846","Desigualdade alta","-1.35384910507216","Médio-baixa","-0.000188106560078781","Equidade"
"1302207","Juruá","AM","-1.16722157286296","Médio-baixa","0.814701732855615","Situações atípicas","-1.56106532362803","Baixa","0.774349890592303","Situações atípicas"
"1302306","Jutaí","AM","-1.15832848392377","Médio-baixa","0.00000705153972844062","Equidade","-1.41069574500408","Baixa","0.00116510686044037","Equidade"
"1302405","Lábrea","AM","-0.916686871277407","Média","-0.0769081939161616","Desigualdade","-1.29147247784562","Médio-baixa","-0.143109263635432","Desigualdade"
"1302504","Manacapuru","AM","-0.682681200372486","Média","-0.0688054907039571","Desigualdade","-0.998454086127584","Média","-0.0992248704856448","Desigualdade"
"1302553","Manaquiri","AM","-1.28394332703473","Médio-baixa","0.00103688346705669","Equidade","-1.76489153107335","Baixa","0.0024230784316918","Situações atípicas"
"1302603","Manaus","AM","-0.44195001558983","Médio-alta","-0.0523460752043761","Desigualdade","-0.754125656101634","Média","-0.0300058734355119","Desigualdade"
"1302702","Manicoré","AM","-0.777686959210011","Média","-0.0851693929733122","Desigualdade","-0.977873336966891","Média","-0.167860455767811","Desigualdade"
"1302801","Maraã","AM","-1.37053610991427","Baixa","-0.491201801326336","Desigualdade","-1.40583753389847","Baixa","-0.0000352217076618792","Equidade"
"1302900","Maués","AM","-0.563713324129881","Médio-alta","-0.0521391374275998","Desigualdade","-0.683529808273686","Média","-0.109716564846868","Desigualdade"
"1303007","Nhamundá","AM","-0.592989759057662","Médio-alta","0.000378134896203786","Equidade","-0.713318321491932","Média","0.00367185719414211","Situações atípicas"
"1303106","Nova Olinda do Norte","AM","-0.917403325420819","Média","0.0000814062299097873","Equidade","-0.955294810535352","Média","0.000702346608930104","Equidade"
"1303205","Novo Airão","AM","-0.615911531759221","Média","0.000661021710721656","Equidade","-0.664311563904602","Média","-0.307821896557256","Desigualdade"
"1303304","Novo Aripuanã","AM","-0.729092129284877","Média","-0.279349686274958","Desigualdade","-0.675523892353921","Média","-0.206445691361338","Desigualdade"
"1303403","Parintins","AM","-0.538945341322619","Médio-alta","-0.159589981252479","Desigualdade","-0.722791369116227","Média","-0.149472164507973","Desigualdade"
"1303502","Pauini","AM","-1.44016579922857","Baixa","-0.00340717454970396","Desigualdade","-1.75281370191915","Baixa","-0.36979730309501","Desigualdade"
"1303536","Presidente Figueiredo","AM","-0.548806770028846","Médio-alta","-0.146548047560525","Desigualdade","-0.956187580419215","Média","-0.225473498923561","Desigualdade"
"1303569","Rio Preto da Eva","AM","-1.01925444867599","Média","0.198727719871275","Situações atípicas","-1.4525978210941","Baixa","0.1395720782332","Situações atípicas"
"1303601","Santa Isabel do Rio Negro","AM","-1.13144707674178","Médio-baixa","-0.00273648787866077","Desigualdade","-1.6383571828589","Baixa","-0.0720239500451265","Desigualdade"
"1303700","Santo Antônio do Içá","AM","-1.44127917139996","Baixa","-0.0570524452635183","Desigualdade","-1.54464376686532","Baixa","0.00267184510378614","Situações atípicas"
"1303809","São Gabriel da Cachoeira","AM","-0.96192284101361","Média","-0.801929783422374","Desigualdade alta","-1.57788253353399","Baixa","-0.609097444981928","Desigualdade alta"
"1303908","São Paulo de Olivença","AM","-1.37956333753793","Baixa","-0.00262707281328745","Desigualdade","-1.72502078373119","Baixa","-0.00079409417243449","Equidade"
"1303957","São Sebastião do Uatumã","AM","-1.14049462060242","Médio-baixa","0.00102187281441015","Equidade","-1.69097316085412","Baixa","0.0024120284124927","Situações atípicas"
"1304005","Silves","AM","-0.950882957917729","Média","-0.651732345848088","Desigualdade alta","-1.18936652830796","Médio-baixa","0.00000298524115514016","Equidade"
"1304062","Tabatinga","AM","-1.25157303693881","Médio-baixa","-0.07281782684346","Desigualdade","-1.70894363528717","Baixa","-0.0630188922828163","Desigualdade"
"1304104","Tapauá","AM","-0.638916692667774","Média","-0.00127619468223542","Equidade","-0.771625117455683","Média","-0.00277792812952864","Desigualdade"
"1304203","Tefé","AM","-0.649547496355715","Média","-0.112108396820145","Desigualdade","-1.04180310359891","Média","-0.0943420819826295","Desigualdade"
"1304237","Tonantins","AM","-1.76546897210537","Baixa","0.0000137758151652851","Equidade","-2.38294584358081","Baixa","0.0017368425944655","Situações atípicas"
"1304260","Uarini","AM","-1.66208903987186","Baixa","-0.00176767860677349","Desigualdade","-1.43218416983138","Baixa","-0.000890150064941195","Equidade"
"1304302","Urucará","AM","-0.923602684862384","Média","-0.000774101613825217","Equidade","-1.57784628791856","Baixa","-0.00308010976428981","Desigualdade"
"1304401","Urucurituba","AM","-0.665811891262213","Média","-0.000342860689688735","Equidade","-0.551111207300657","Médio-alta","0.000620704328430422","Equidade"
"1400027","Amajari","RR","-1.47095748159852","Baixa","0.000318501004764923","Equidade","-1.89109395253029","Baixa","0.00187062110050045","Situações atípicas"
"1400050","Alto Alegre","RR","-1.25603276439863","Médio-baixa","0.594543444745941","Situações atípicas","-1.6380485122003","Baixa","-0.491062398129821","Desigualdade"
"1400100","Boa Vista","RR","-0.503418597300359","Médio-alta","-0.0430618409215396","Desigualdade","-0.696101217554256","Média","-0.0284447898547586","Desigualdade"
"1400159","Bonfim","RR","-1.3402446999224","Médio-baixa","-0.553936054733594","Desigualdade alta","-1.89248617988515","Baixa","-0.934272973561301","Desigualdade extrema"
"1400175","Cantá","RR","-1.63072427937243","Baixa","0.00403512089911467","Situações atípicas","-1.72885103283477","Baixa","0.00129609226185206","Equidade"
"1400209","Caracaraí","RR","-1.18434623808745","Médio-baixa","-0.0000931463679759549","Equidade","-1.6315484216443","Baixa","-0.16155040010048","Desigualdade"
"1400233","Caroebe","RR","-1.37142706292208","Baixa","0.000197701158920241","Equidade","-1.61295697719518","Baixa","-0.524341430068671","Desigualdade"
"1400282","Iracema","RR","-1.14331084008619","Médio-baixa","-0.384329410129935","Desigualdade","-1.71288159719745","Baixa","-0.419167230433586","Desigualdade"
"1400308","Mucajaí","RR","-0.924302310264335","Média","-0.542442715073619","Desigualdade alta","-1.27505937620252","Médio-baixa","-0.355291162431764","Desigualdade"
"1400407","Normandia","RR","-1.82012156721156","Baixa","-0.0000752007803152712","Equidade","-2.17585294106101","Baixa","-0.45787505893164","Desigualdade"
"1400456","Pacaraima","RR","-1.08432171210864","Médio-baixa","0.678284988845294","Situações atípicas","-1.39686821546423","Baixa","0.670095220360564","Situações atípicas"
"1400472","Rorainópolis","RR","-1.07382831008866","Médio-baixa","-0.00222052120633859","Desigualdade","-1.45384456573485","Baixa","0.146495346158409","Situações atípicas"
"1400506","São João da Baliza","RR","-1.26016441759338","Médio-baixa","0.00175707575061966","Situações atípicas","-1.62740598920716","Baixa","0.675382077062043","Situações atípicas"
"1400605","São Luiz","RR","-1.14391483077587","Médio-baixa","-0.000734402922146589","Equidade","-1.48177749446349","Baixa","0.0032989719087641","Situações atípicas"
"1400704","Uiramutã","RR","-1.60595459767638","Baixa","-3.4096750622988e-7","Equidade","-2.69551220814761","Baixa","-0.0000709604774290107","Equidade"
"1500107","Abaetetuba","PA","-1.00796435807595","Média","-0.0523634038309508","Desigualdade","-1.5713618038245","Baixa","-0.0489058015187489","Desigualdade"
"1500131","Abel Figueiredo","PA","-0.973675176881102","Média","-0.680740930327672","Desigualdade alta","-1.36377081109599","Baixa","-0.000167253324464674","Equidade"
"1500206","Acará","PA","-1.43133531774966","Baixa","-0.0852418787567259","Desigualdade","-1.89102795488046","Baixa","-0.00645734960416085","Desigualdade"
"1500305","Afuá","PA","-1.56841781740453","Baixa","-0.00463799128255772","Desigualdade","-1.99279246411741","Baixa","-0.328108213753755","Desigualdade"
"1500347","Água Azul do Norte","PA","-1.25367005806184","Médio-baixa","-0.00240695331741408","Desigualdade","-1.72327206716416","Baixa","-0.489087709189398","Desigualdade"
"1500404","Alenquer","PA","-1.39464169522387","Baixa","-0.0723261593144163","Desigualdade","-1.93357421776216","Baixa","-0.0509936402617385","Desigualdade"
"1500503","Almeirim","PA","-1.46000872035418","Baixa","-0.136807549482793","Desigualdade","-1.67438053207217","Baixa","-0.000599871301331946","Equidade"
"1500602","Altamira","PA","-0.547566267800953","Médio-alta","-0.0608840662395095","Desigualdade","-0.896120423340716","Média","-0.0368886902930392","Desigualdade"
"1500701","Anajás","PA","-1.56781289099621","Baixa","0.293278907354684","Situações atípicas","-2.18901215163027","Baixa","-0.00029518637788503","Equidade"
"1500800","Ananindeua","PA","-0.714392019910921","Média","-0.0304717736952299","Desigualdade","-1.2176358996537","Médio-baixa","-0.0245494983211751","Desigualdade"
"1500859","Anapu","PA","-1.42243185926548","Baixa","0.00260576487946634","Situações atípicas","-1.70946875390113","Baixa","0.169117587988084","Situações atípicas"
"1500909","Augusto Corrêa","PA","-1.58935515561667","Baixa","-0.08725947760453","Desigualdade","-2.07146704918013","Baixa","0.171188744134684","Situações atípicas"
"1500958","Aurora do Pará","PA","-1.22070932821475","Médio-baixa","0.369490042836131","Situações atípicas","-1.92925282193294","Baixa","0.0000518850412711596","Equidade"
"1501006","Aveiro","PA","-1.62038452011651","Baixa","-0.599679388187599","Desigualdade alta","-2.3194873444735","Baixa","-0.648596476217852","Desigualdade alta"
"1501105","Bagre","PA","-0.854713812077958","Média","0.00000469735584425622","Equidade","-0.939254235051474","Média","0.00000536122443589726","Equidade"
"1501204","Baião","PA","-1.83920639566013","Baixa","-0.000298241108327525","Equidade","-1.99052187983344","Baixa","0.0123849224672736","Situações atípicas"
"1501253","Bannach","PA","-1.11505381239431","Médio-baixa","-0.00254163498351891","Desigualdade","-1.6125524087839","Baixa","-0.000732986558368431","Equidade"
"1501303","Barcarena","PA","-1.08944240988698","Médio-baixa","-0.0492278857731168","Desigualdade","-1.74178777445712","Baixa","-0.0520236332967147","Desigualdade"
"1501402","Belém","PA","-0.796410789427035","Média","-0.018244388395007","Desigualdade","-1.3111989639447","Médio-baixa","-0.0100341564885979","Desigualdade"
"1501451","Belterra","PA","-0.816168544497815","Média","-0.522515893656548","Desigualdade","-1.31157516736629","Médio-baixa","-0.00237587113864802","Desigualdade"
"1501501","Benevides","PA","-0.781275372328409","Média","-0.0946400373187572","Desigualdade","-1.17247589308927","Médio-baixa","-0.0439604473292503","Desigualdade"
"1501576","Bom Jesus do Tocantins","PA","-0.849546103237875","Média","0.518131555665905","Situações atípicas","-1.06194840424274","Média","-0.384297990675706","Desigualdade"
